terms	count
slowly, very slowly, gradually, slowly and quietly, in a slow pace, slow, slowly and firmly, Slowly, slowly and cautiously, carefully and slowly, at slow pace, quite slowly, very slowly and carefully, slowly and casually, slowly and carefully, slowly and concentrated, at a slow pace	287
with his right foot, on his right foot, on the left foot, on the right foot, on his left foot, with the left foot, with right foot, with the right foot, with the right leg, with his left foot, with the right foot in the air, with the right leg turning around his left side facing backwards and doing, with his left leg, with his right leg, with their right foot, with his feet, on the tip of their right foot, with right leg, with their right leg, with the foot	139
very fast, fast, quickly, at fast speed, rather quick, quite fast, relatively quick, very quickly, really fast, swiftly, in a fast pace, faster	139
with the left hand, with the right hand, with its right hand, using the right hand, left handed, with left hand, with the right arm, using his right hand, with the right hand front then with the left hand front, using the left hand, with it is left hand, with support of the right hand	113
counterclockwise, counter clockwise, anticlockwise, in a counterclockwise circle, in counterclockwise circles	109
clockwise, counter clockwise, in a counterclockwise circle, a small clockwise circle, anti clockwise, in a clockwise circle, in counterclockwise circles, horizontally and clockwise	103
with their right hand, with right hand, with his right hand, with the right hand, using the right hand, using their right arm, with their right arm, with their left hand, using their left hand, with support of the right hand	96
in circles, in circle, in a circle, in a quarter circle, in a small circle, in quarter circle, in small circles, in a counterclockwise circle, a quarter circle, a small clockwise circle, a circle, in a clockwise circle, in counterclockwise circles, in a quarter of a circle, a full circle, in a half circle, by making a circle shape, in a slight circle, in a circle pattern, in small circle, in a half circle shape, half circle, in a circle shape, in form of a circle, in horizontal circles, 2 counter clockwise circles	94
180 degrees, by 180 degrees, of 180 degrees, around a 180 degrees, with a 270 degrees turnaround into the left	72
with its left hand, with its right hand, with its 2 hands, left handed, with its 2 hand, with its left hand which are above it besides it and below it, with left hand, with its left arm, with its right arm, using the left hand, with its hands, with it is left hand, with the support of left hand	68
with its left foot, on the left foot, with the left foot, with its right foot, with its left foot which is close to the floor, on their left foot, with their left foot, with the sole of foot with its left foot, with both feet to its right, with the foot	66
with both of his hands, with both hands, using his hands, with his left hand, with his arms, with his 2 hands, with his both arms, using his right hand, by using both of his hands, by using his right hand, with both of his arms, with his hands, on his hands, with his hands in front of his body	55
a quarter of a circle, in a quarter circle, in quarter circle, a quarter circle, a small clockwise circle, in a clockwise circle, a quarter counter clockwise circle, a quarter round, in a quarter of a circle, in a half circle, quarter a circle, in a half circle shape, half circle, in a circle shape, in form of a circle, straight on and a quarter circle	51
quick, quickly, rather quick, relatively quick, very quickly, swiftly, quick and large, in a fast fashion, rapid	45
with his right fist, with his right hand, with his right arm, using the right fist, using his right hand, by using his right hand	44
at medium speed, at a slow speed, with medium speed, at fast speed, at medium velocity, with moderate velocity, at a moderate speed, with normal speed, at slow speed	43
with both legs, with both feet, with both legs approximately 20 centimeters forward, on both of his legs, with both legs approximately 30 centimeters forward, with the right leg, with left leg, with both of his legs, with both feet about 50 centimeters forward, with the left leg, on 1 leg, with the feet together, with both feet about 20 centimeters high, with right leg, with their right leg, with 2 feet, with both legs simultaneously, with both feet and also single foot	42
with lateral steps, with 4 steps, 2 steps, a few steps, with small steps, several steps, by stepping 2 steps to the right, by stepping laterally	38
backwards, a bit backwards, sidewards	32
still	31
backwards	30
with left hand, with his left arm, using his right hand, with his left hand possibly gripping an object, with their left hand, by using his right hand, with the left hand as support, using the left hand, with his left, with it is left hand, using their left hand, with the support of left hand	30
with his right hand stroking with his left hand, with his left hand, using his right hand	28
on 1 foot, on 1 leg, with 2 feet, with 1 foot	26
carefully, careful, carefully and slowly, very carefully, cautiously	26
5 steps, 4 steps, in 5 steps, 2 steps, a few steps, 3 steps, several steps, in 8 steps, 5 steps in a straight line, in 5 forward steps, in 4 steps	26
quite slow, at slow pace, very slow, quite slowly, slow forward, relatively slow, at a slow pace, at slow speed	26
for a few steps, a couple of steps backwards, a couple of steps, with a few small steps, a few steps, with small steps, 3 steps, several steps, a few slow steps, with relatively small steps, few steps and turning, with a few heavy steps	26
in 1 step, 4 steps, in 5 steps, 2 steps, with 1 large step, 3 steps, several steps, with 1 step, in 5 forward steps, in 4 steps	25
in the form of a half circle which is open on its left side, a quarter circle, a small clockwise circle, a circle, in a clockwise circle, in a quarter of a circle, in a half circle, in a slight circle, in a half circle shape, half circle, in a semicircle, in a circle shape, in form of a circle	21
straight	20
with the help of his right arm, with his right leg, with the right arm, with his left arm, using his right hand, by using his right hand, using his legs and left arm, with assistance of the left arm, with support of the right hand	19
on its knees, on his knees, on the knees, on their knees	18
slightly, slight, very slightly	18
by using his left foot to speed up, with his left foot, with the right leg turning around his left side facing backwards and doing, using his legs and left arm, by going approximately 40 centimeters forward starting with his left leg	18
in a 90 degrees curve, in 90 degrees curve, in a 90 degrees curve to his left, in a 90 degrees curve to his right, in a 90 degrees right curve, with an angle of 90 degrees	17
with both arms stretched out to the side, with both arms, with stretched arms, with his arms stretched out to the side, with both of his arms, with both arms hanging, with his stretched out arms, with wide arms, with both arms stretched out, with arms spread out at shoulder height, with arms outstretched, with their arms stretched out sideways, with both arms stretched forward	16
on all fours	15
with very large steps, a few steps, in large steps, with 1 large step, with small steps, several steps, with large steps, with a large step, with a few heavy steps	15
with the left arm, with the right arm, with his left arm, with its left arm, with the left hand as support, with it is left hand, with assistance of the left arm, with the support of left hand	15
90 degrees, of 90 degrees	14
straight on	13
with left, to the left, by looking to the left	13
like wings, like wings takes them	12
with his arms at the horizontal, with his arms stretched out to the side, with his both arms, with both of his arms, with his arms extended forward, with his arms lifted horizontally, with his arms raised horizontally, with his stretched out arms, with both knees slightly bend and hands in front of him half an arm length away, with his hands in front of his body, with his upper body, with his arms stretched out in front of him	12
with both feet, with the feet together, with the right feet, with the foot	11
in a straight line, on a straight line, non straight line	11
by stairs, a couple of steps, in large steps, with large steps	11
forward, fast forwards	10
with the hands, with the support of 2 hands, by using both hands as support, with hands, by using both of his hands, using the right hand and first and then using both hands later, using both hand as support, using 2 hands but without bending their knees	10
with his hanging arms in the air, with his arms stretched, with his arms raised to the side, with his arms stretched out to the side, with his arms extended forward, with his arms lifted horizontally, with his arms raised horizontally, with his stretched out arms	10
with an injured leg, with left leg, with a limp in their right leg, with the left leg, with his left leg	9
suddenly, sudden, in a sudden, abrupt, abruptly	9
in a slow walk, in a fast walk, in a walk	8
low	8
by his left, with his left arm, by his left side, with his left	8
hand, with the hands, with hands	7
right forward, forward	7
with the arms swinging a bit, with the right shoulder and arm bent down to the side and the arm swinging a bit, with swinging arms, with the arms swinging a little bit, with swinging hands	7
a couple of steps straight forward, a few steps, 1 step forward	7
starting with the left leg, with their left leg, with their left foot, with right leg	7
ahead, forward	6
horizontally	6
by using their right foot first then pushing off it to stay balanced, with their right foot, with their right leg, by pushing itself up with the left hand getting the right foot up first, with the left hand getting the right foot up first	6
on his knees and hands, on the knees, with both knees slightly bend and hands in front of him half an arm length away	6
