A person performs a punch with their right hand. 	 a person performs a punch with their right hand
Person boxing with right hand 	 person boxing with right hand
A person punches. 	 a person punches
The human performs a right-handed punch. 	 the human performs a right handed punch
someone makes a step forward with his right foot by boxing with his right hand 	 someone makes a step forward with his right foot by boxing with his right hand
Someone is doing a high punch with his right fist. 	 someone is doing a high punch with his right fist
A person punches in the air in front of him with his right arm 	 a person punches in the air in front of him with his right arm
a person punches something with its right hand 	 a person punches something with its right hand
A person performs a jab with his right hand. 	 a person performs a jab with his right hand
A person is punching with his right hand. 	 a person is punching with his right hand
Subject kicking someone with its left foot. 	 subject kicking someone with its left foot
A human performs a sidekick with the left foot, moving up its hands in defence position 	 a human performs a sidekick with the left foot moving up its hands in defence position
a person kicks something with its left foot 	 a person kicks something with its left foot
A person kneels down on hands an feet. 	 a person kneels down on hands an feet
A person gets on all fours, ready to crawl. 	 a person gets on all fours ready to crawl
A person goes down to his knees. 	 a person goes down to his knees
A human goes down on all fours 	 a human goes down on all fours
A person walks a right curve 	 a person walks a right curve
A person walks in a quarter circle 	 a person walks in a quarter circle
A person goes slowly 5 steps forward. 	 a person goes slowly 5 steps forward
A person walks slowly forward. 	 a person walks slowly forward
A person slowly walks 4 steps forwards. 	 a person slowly walks 4 steps forwards
A person walks forward 4 steps. 	 a person walks forward 4 steps
A persons walks five steps forward 	 a persons walks 5 steps forward
A person walks forwards, turns and walks back. 	 a person walks forwards turns and walks back
a person walks forwards a few steps then turns 180 degrees to the right and keeps walking 	 a person walks forwards a few steps then turns 180 degrees to the right and keeps walking
Person going an all fours and then crawling forwards 	 person going an all fours and then crawling forwards
human kneels down and then crawls 	 human kneels down and then crawls
A person is crawling. 	 a person is crawling
A person gets in their knees and crawls 3 steps. 	 a person gets in their knees and crawls 3 steps
a person goes down on its knees and crawls 	 a person goes down on its knees and crawls
A person is crawling 	 a person is crawling
A person steps forwards then turns around and steps forwards again. 	 a person steps forwards then turns around and steps forwards again
A person goes forward, turns around and goes back. 	 a person goes forward turns around and goes back
a person walks forwards a few steps and then turn 180 degrees to the right and then walks back some meters 	 a person walks forwards a few steps and then turn 180 degrees to the right and then walks back some meters
A person is running forward. 	 a person is running forward
A person throws an object with the left hand. 	 a person throws an object with the left hand
A human plays golf with a careful movement. 	 a human plays golf with a careful movement
Someone gets pushed backwards. 	 someone gets pushed backwards
A person gets pushed from the front a few meters back 	 a person gets pushed from the front a few m back
picking up something from the ground in the front 	 picking up something from the ground in the front
A person turns 180° to the right very fast. 	 a person turns 180 degrees to the right very fast
